,City,Colors Reported,Shape Reported,State,Time
7600,Trezevant,Red,TRIANGLE,TN,11/1/1994 1:00
7601,Ypsilanti,Red,LIGHT,MI,11/1/1994 22:00
7602,Lower Lake,Red,DISK,CA,11/1/1994 22:30
7603,Palmer,Red,LIGHT,AK,11/3/1994 20:30
7604,Hwy I-40,Red,OVAL,AZ,11/5/1994 14:00
7605,Alston,Red,TRIANGLE,MI,11/5/1994 21:00
7606,San Antonio,Red,CIRCLE,TX,11/10/1994 7:13
7607,Vidor,Red,LIGHT,TX,11/10/1994 23:00
7608,Plymouth,Red,TRIANGLE,IN,11/11/1994 22:00
7609,Plymouth,Red,DIAMOND,IN,11/11/1994 22:20
7610,St. Florian,Red,DISK,AL,11/12/1994 12:00
7611,San Diego,Red,OTHER,CA,11/14/1994 20:00
7612,Inverness,Red,RECTANGLE,FL,11/14/1994 21:09
7613,Lucedale,Red,DISK,MS,11/15/1994 4:00
7614,Mountain City,Red,TRIANGLE,TN,11/15/1994 19:00
7615,Atlanta,Red,LIGHT,GA,11/15/1994 21:00
7616,Portsmouth,GREEN,FLASH,VA,11/15/1994 21:45
7617,Liberty,GREEN,FIREBALL,KY,11/15/1994 23:00
7618,Coram,Red,OTHER,NY,11/15/1994 23:25
7619,Petoskey,Red,TRIANGLE,MI,11/16/1994 19:15
7620,Glendale,BLUE,SPHERE,CA,11/23/1994 3:00
7621,Greensboro,Red,CIGAR,NC,11/26/1994 17:00
7622,Spokane,Red,LIGHT,WA,11/27/1994 20:00
7623,Blanchester,Red,TRIANGLE,OH,11/27/1994 22:00
7624,Phillips,Red,LIGHT,NE,11/29/1994 18:00
7625,Sumter,Red,CIRCLE,SC,12/5/1994 23:00
7626,Farmington,Red,CHEVRON,MO,12/6/1994 21:20
7627,McCall,Red,FIREBALL,ID,12/8/1994 2:45
7628,Cromwell,Red,LIGHT,CT,12/9/1994 1:00
7629,Lu Verne,ORANGE,LIGHT,IA,12/9/1994 20:30
7630,Temecula,Red,DISK,CA,12/10/1994 18:40
7631,Greensboro,GREEN,OVAL,NC,12/12/1994 23:00
7632,Murphy,Red,LIGHT,NC,12/13/1994 18:55
7633,Vienna,Red,OTHER,OH,12/14/1994 0:00
7634,Youngstown,Red,TEARDROP,OH,12/15/1994 1:00
7635,El Toro,Red,LIGHT,CA,12/15/1994 5:00
7636,Alliance,Red,FORMATION,OH,12/15/1994 21:00
7637,Indianapolis,Red,TRIANGLE,IN,12/15/1994 21:30
7638,Carpinteria,Red,LIGHT,CA,12/15/1994 22:00
7639,Knoxville,Red,VARIOUS,IA,12/15/1994 23:30
7640,Chaska,Red,OVAL,MN,12/17/1994 18:30
7641,Taunton,Red,OTHER,MA,12/20/1994 20:00
7642,Sloatsburg,Red,LIGHT,NY,12/23/1994 21:00
7643,Seattle,Red,LIGHT,WA,12/24/1994 1:39
7644,Sherman Oaks,Red,TRIANGLE,CA,12/24/1994 21:00
7645,Huntington,Red,LIGHT,WV,12/25/1994 4:30
7646,Cincinnati,ORANGE,CIRCLE,OH,12/25/1994 23:00
7647,West Hills,Red,FIREBALL,CA,12/26/1994 19:30
7648,Lakeview,Red,LIGHT,MI,12/29/1994 19:00
7649,La Crosse,Red,DELTA,WA,12/29/1994 21:45
7650,Oppenhium,Red,OVAL,NY,12/29/1994 23:10
7651,Los Angeles,ORANGE,LIGHT,CA,12/30/1994 2:05
7652,Roy,Red,LIGHT,WA,12/30/1994 4:00
7653,West Union,ORANGE,LIGHT,OH,12/31/1994 18:00
7654,Gig Harbor,RED,LIGHT,WA,12/31/1994 18:32
7655,Orem,Red,LIGHT,UT,12/31/1994 22:00
7656,Fontana,RED,LIGHT,CA,12/31/1994 22:30
7657,Pacific Grove,Red,LIGHT,CA,1/1/1995 0:02
7658,Mt. Charleston,Red,OVAL,NV,1/1/1995 1:00
7659,El Granada,Red,FIREBALL,CA,1/1/1995 2:00
7660,Kansas,Red,LIGHT,KS,1/1/1995 3:00
7661,Travelers Rest,Red,TRIANGLE,SC,1/1/1995 6:00
7662,Oxnard,Red,VARIOUS,CA,1/1/1995 10:00
7663,Cedar Key,Red,TRIANGLE,FL,1/1/1995 15:00
7664,Greenwood,RED,SPHERE,SC,1/1/1995 15:00
7665,Tucson,Red,TRIANGLE,AZ,1/1/1995 21:00
7666,Shelton,Red,LIGHT,WA,1/1/1995 22:00
7667,Anaheim,Red,LIGHT,CA,1/1/1995 22:45
7668,Southampton,Red,LIGHT,NY,1/1/1995 23:00
7669,New Port Richey,Red,LIGHT,FL,1/2/1995 6:25
7670,Tewksbury,Red,LIGHT,MA,1/3/1995 4:45
7671,Gladstone,Red,TRIANGLE,OR,1/3/1995 5:00
7672,Marysville,BLUE,TRIANGLE,WA,1/3/1995 18:00
7673,Redmond,Red,LIGHT,WA,1/3/1995 20:49
7674,Seattle,Red,LIGHT,WA,1/3/1995 21:55
7675,Salinas,Red,LIGHT,CA,1/3/1995 23:45
7676,Rodney,Red,TRIANGLE,MI,1/4/1995 0:54
7677,Noxen,RED BLUE,LIGHT,PA,1/4/1995 21:55
7678,Seattle,Red,LIGHT,WA,1/5/1995 9:50
7679,Evart,Red,LIGHT,MI,1/5/1995 17:30
7680,Sumner,Red,DISK,WA,1/5/1995 20:10
7681,Shelby,Red,LIGHT,MT,1/5/1995 21:00
7682,Sumner,Red,DISK,WA,1/5/1995 21:05
7683,Warm Beach,Red,LIGHT,WA,1/6/1995 0:15
7684,Glendo,Red,LIGHT,WY,1/6/1995 17:30
7685,Makapiu Point,Red,LIGHT,HI,1/7/1995 5:00
7686,Lake Grove,Red,DISK,OR,1/7/1995 14:00
7687,Malmstrom AFB,Red,LIGHT,MT,1/7/1995 15:00
7688,Edison,Red,FIREBALL,NJ,1/7/1995 17:00
7689,McMinnville,Red,LIGHT,TN,1/7/1995 17:30
7690,Enterprise,Red,LIGHT,MS,1/8/1995 4:00
7691,Horton,RED,LIGHT,MI,1/8/1995 23:00
7692,Marion,Red,LIGHT,NY,1/9/1995 3:30
7693,Port Charlotte,Red,LIGHT,FL,1/9/1995 19:00
7694,Memphis,Red,LIGHT,TN,1/9/1995 23:55
7695,Riverside,Red,LIGHT,CA,1/10/1995 7:15
7696,Cleveland Heights,Red,SPHERE,OH,1/10/1995 21:00
7697,Seatac,Red,LIGHT,WA,1/11/1995 7:00
7698,Snohomish,Red,LIGHT,WA,1/12/1995 0:45
7699,Mojave Desert,Red,CIRCLE,CA,1/12/1995 1:00
7700,Olalla,Red,LIGHT,WA,1/12/1995 22:00
7701,Napoleon,Red,CIRCLE,MI,1/13/1995 22:30
7702,Beaverton,Red,LIGHT,OR,1/14/1995 22:00
7703,Blythe,Red,LIGHT,CA,1/15/1995 2:00
7704,McKinleyville,GREEN BLUE,LIGHT,CA,1/15/1995 2:30
7705,Flint,Red,TRIANGLE,MI,1/15/1995 4:30
7706,Mount Carroll,Red,TRIANGLE,IL,1/15/1995 4:30
7707,Gorham,Red,LIGHT,ME,1/15/1995 12:00
7708,Morton,Red,LIGHT,WA,1/15/1995 21:00
7709,Plymouth Meeting,Red,RECTANGLE,PA,1/15/1995 21:00
7710,Cleburne,Red,TRIANGLE,TX,1/15/1995 22:00
7711,Poulsbo,Red,LIGHT,WA,1/15/1995 23:43
7712,Renton,Red,LIGHT,WA,1/16/1995 0:20
7713,Bend,Red,LIGHT,OR,1/17/1995 4:30
7714,Anchorage,Red,LIGHT,AK,1/17/1995 22:45
7715,Seattle,BLUE,LIGHT,WA,1/17/1995 23:07
7716,Moorehead,RED,LIGHT,MN,1/17/1995 23:45
7717,Grangeville,Red,LIGHT,ID,1/18/1995 19:00
7718,Deer Lodge,Red,LIGHT,MT,1/18/1995 19:30
7719,Richland,GREEN,LIGHT,WA,1/19/1995 19:20
7720,West Bend,Red,CIRCLE,WI,1/20/1995 19:00
7721,Branford,Red,LIGHT,CT,1/20/1995 19:40
7722,Portland,Red,LIGHT,OR,1/21/1995 5:45
7723,Seymour,RED,LIGHT,TN,1/21/1995 21:50
7724,Tonasket,Red,RECTANGLE,WA,1/22/1995 3:00
7725,Vienna,Red,LIGHT,VA,1/22/1995 17:50
7726,Seattle,Red,LIGHT,WA,1/22/1995 20:00
7727,Renton,Red,LIGHT,WA,1/22/1995 21:45
7728,Seattle,Red,LIGHT,WA,1/23/1995 6:15
7729,Ladysmith,Red,LIGHT,WI,1/23/1995 23:42
7730,Lebanon,Red,LIGHT,TN,1/24/1995 4:42
7731,Midland,Red,LIGHT,TX,1/24/1995 21:00
7732,San Angelo,Red,LIGHT,TX,1/24/1995 21:15
7733,Joyce,RED,LIGHT,WA,1/25/1995 15:23
7734,Philadelphia,Red,TRIANGLE,PA,1/25/1995 22:40
7735,Concrete,Red,LIGHT,WA,1/26/1995 19:00
7736,West South Port,Red,LIGHT,ME,1/26/1995 19:00
7737,Seatac,RED,LIGHT,WA,1/27/1995 6:26
7738,Burbank,Red,LIGHT,CA,1/28/1995 10:53
7739,Elbridge,Red,OTHER,NY,1/30/1995 6:35
7740,Jacksonville,Red,LIGHT,FL,1/30/1995 20:00
7741,Olympia,RED,LIGHT,WA,1/30/1995 20:00
7742,Harrisburg,Red,LIGHT,PA,1/30/1995 20:29
7743,Spanaway,Red,LIGHT,WA,1/31/1995 2:00
7744,Alexandria,Red,LIGHT,LA,1/31/1995 19:32
7745,Mason,Red,LIGHT,MI,1/31/1995 20:07
7746,Eaton Rapids,Red,LIGHT,MI,1/31/1995 20:10
7747,Bolivar - 170th,Red,TRIANGLE,MO,2/1/1995 4:00
7748,Fort Lewis,GREEN,LIGHT,WA,2/1/1995 12:00
7749,Seatac,RED,LIGHT,WA,2/2/1995 4:00
7750,Denmark,Red,CONE,WI,2/2/1995 19:15
7751,Eastport,Red,LIGHT,MI,2/2/1995 20:00
7752,Traverse City,Red,LIGHT,MI,2/2/1995 20:10
7753,Shady Grove,GREEN,LIGHT,OR,2/2/1995 23:00
7754,Romulus,Red,LIGHT,MI,2/3/1995 21:30
7755,Fontana,Red,LIGHT,CA,2/3/1995 23:25
7756,New Orleans,Red,LIGHT,LA,2/4/1995 0:00
7757,Lynnwood,Red,LIGHT,WA,2/4/1995 15:05
7758,Lewiston,RED,LIGHT,MT,2/4/1995 17:33
7759,Lewiston,Red,LIGHT,MT,2/4/1995 18:45
7760,Chimacum,Red,LIGHT,WA,2/4/1995 19:00
7761,Port Hadlock,Red,LIGHT,WA,2/4/1995 19:10
7762,Atlanta,Red,LIGHT,GA,2/5/1995 0:00
7763,Greensville,Red,LIGHT,NC,2/5/1995 1:30
7764,Bloomington,Red,LIGHT,IL,2/6/1995 0:00
7765,Little Rock,Red,DISK,AR,2/6/1995 18:28
7766,Nine Mile Falls,Red,LIGHT,WA,2/6/1995 19:30
7767,Hamilton,Red,LIGHT,TX,2/6/1995 20:30
7768,Raymond,Red,LIGHT,WA,2/7/1995 0:00
7769,Seattle,Red,LIGHT,WA,2/7/1995 0:00
7770,Quilcene,Red,LIGHT,WA,2/7/1995 4:55
7771,Renton,GREEN,LIGHT,WA,2/7/1995 16:30
7772,Tacoma,Red,LIGHT,WA,2/7/1995 20:35
7773,Shawnee,RED,LIGHT,OK,2/7/1995 21:10
7774,Tidewater,Red,LIGHT,OR,2/7/1995 23:00
7775,Tillamook,RED BLUE,LIGHT,OR,2/8/1995 0:00
7776,North Bend,Red,LIGHT,WA,2/8/1995 5:30
7777,Renton,Red,LIGHT,WA,2/8/1995 18:32
7778,Auburn,Red,LIGHT,ME,2/9/1995 0:00
7779,Huntington Beach,ORANGE,LIGHT,CA,2/9/1995 0:00
7780,Anaheim,Red,LIGHT,CA,2/9/1995 17:40
7781,Vancouver,Red,LIGHT,WA,2/9/1995 19:00
7782,Vancouver,GREEN,LIGHT,WA,2/9/1995 19:00
7783,Billings,Red,LIGHT,MT,2/10/1995 0:00
7784,Oregon City,Red,LIGHT,OR,2/10/1995 0:00
7785,Seattle,Red,LIGHT,WA,2/10/1995 0:00
7786,Downey,Red,CIRCLE,CA,2/10/1995 20:00
7787,Cannon Beach,Red,LIGHT,OR,2/10/1995 20:30
7788,Elizabethtown,Red,LIGHT,KY,2/12/1995 0:45
7789,McKinleyville,Red,LIGHT,CA,2/12/1995 6:25
7790,El Cerrito,RED,LIGHT,CA,2/12/1995 21:00
7791,Gustavus,ORANGE,LIGHT,AK,2/12/1995 22:30
7792,Cheboygan,Red,LIGHT,MI,2/13/1995 22:15
7793,Chico,Red,LIGHT,CA,2/14/1995 23:28
7794,Nashville,Red,LIGHT,TN,2/15/1995 3:58
7795,Ohio,Red,DISK,OH,2/15/1995 4:00
7796,Fair Oaks,Red,LIGHT,NY,2/15/1995 4:40
7797,Vaiden,Red,CIGAR,MS,2/15/1995 7:30
7798,North Washington,Red,SPHERE,PA,2/15/1995 20:00
7799,Phoenix,Red,LIGHT,AZ,2/15/1995 20:00
7800,Sacramento,Red,LIGHT,CA,2/15/1995 20:00
7801,Liberal,Red,LIGHT,KS,2/15/1995 21:00
7802,Santa Rosa,Red,LIGHT,CA,2/15/1995 21:00
7803,Lyndhurst,Red,LIGHT,OH,2/15/1995 21:30
7804,Lyndhurst,BLUE,LIGHT,OH,2/15/1995 21:30
7805,Johnson City,Red,LIGHT,TN,2/16/1995 0:00
7806,Sacramento,Red,LIGHT,CA,2/16/1995 0:00
7807,Albuquerque,Red,LIGHT,NM,2/16/1995 19:26
7808,Lyndhurst,BLUE,TRIANGLE,OH,2/16/1995 21:25
7809,Kalamazoo,Red,LIGHT,MI,2/16/1995 23:10
7810,PawPaw,Red,LIGHT,MI,2/16/1995 23:15
7811,Des Plaines,Red,LIGHT,IL,2/16/1995 23:45
7812,Kalamazoo,Red,LIGHT,MI,2/16/1995 23:45
7813,Seatac,Red,LIGHT,WA,2/17/1995 22:30
7814,Andover,Red,SPHERE,MA,2/18/1995 10:00
7815,Vantage,Red,LIGHT,WA,2/18/1995 12:00
7816,Warren,Red,LIGHT,IL,2/18/1995 18:00
7817,Kalamazoo,Red,LIGHT,MI,2/18/1995 21:00
7818,Fargo,Red,LIGHT,ND,2/19/1995 0:05
7819,Mountlake Terrace,Red,LIGHT,WA,2/19/1995 0:15
7820,Fenton,Red,LIGHT,MI,2/19/1995 19:00
7821,Seattle,Red,LIGHT,WA,2/19/1995 19:00
7822,Phoenix,Red,LIGHT,AZ,2/19/1995 22:00
7823,North Cove,Red,FIREBALL,WA,2/20/1995 2:30
7824,Albuquerque,Red,LIGHT,NM,2/20/1995 13:00
7825,Seattle,Red,LIGHT,WA,2/20/1995 13:05
7826,Warren,Red,LIGHT,IL,2/20/1995 18:00
7827,Redding,Red,TRIANGLE,CA,2/20/1995 19:00
7828,Lake Tahuyeh,Red,LIGHT,WA,2/21/1995 1:10
7829,Sprague River,Red,LIGHT,OR,2/21/1995 3:00
7830,Council Bluffs,Red,LIGHT,IA,2/21/1995 19:00
7831,Lynnwood,Red,LIGHT,WA,2/21/1995 19:00
7832,Colville Reservation,Red,LIGHT,WA,2/21/1995 20:30
7833,Yakima,RED,LIGHT,WA,2/21/1995 21:30
7834,St. Louis,Red,LIGHT,MO,2/22/1995 1:15
7835,Woodinville,Red,LIGHT,WA,2/22/1995 2:30
7836,Vancouver,GREEN,LIGHT,WA,2/22/1995 5:36
7837,Seattle,GREEN,LIGHT,WA,2/22/1995 5:37
7838,Mill Creek,BLUE,LIGHT,WA,2/22/1995 5:45
7839,Kent,Red,LIGHT,WA,2/22/1995 20:00
7840,Auburn,Red,LIGHT,WA,2/22/1995 23:00
7841,Seattle,GREEN,LIGHT,WA,2/23/1995 0:00
7842,Tacoma,Red,LIGHT,WA,2/23/1995 0:05
7843,Hage,Red,LIGHT,FL,2/23/1995 2:45
7844,Snohomish,Red,LIGHT,WA,2/23/1995 18:20
7845,El Centro,Red,LIGHT,CA,2/23/1995 21:00
7846,Lexington,Red,LIGHT,KY,2/23/1995 22:00
7847,Redding,Red,LIGHT,CA,2/23/1995 22:00
7848,Fernley,RED,LIGHT,NV,2/24/1995 20:45
7849,Cam Highway,Red,LIGHT,HI,2/24/1995 23:00
7850,Mercer Island,RED BLUE,LIGHT,WA,2/24/1995 23:45
7851,Portland,GREEN,LIGHT,OR,2/25/1995 20:20
7852,Tallassee,Red,LIGHT,TN,2/26/1995 20:00
7853,Stanwood,Red,LIGHT,WA,2/26/1995 21:00
7854,Mt. Vernon,Red,LIGHT,WA,2/26/1995 23:30
7855,Harrisonburg,Red,LIGHT,VA,2/27/1995 12:00
7856,Mukilteo,Red,LIGHT,WA,2/27/1995 19:59
7857,Electric City,Red,LIGHT,WA,2/28/1995 5:00
7858,Harrisonburg,Red,LIGHT,VA,2/28/1995 19:00
7859,Eastgate,Red,LIGHT,WA,2/28/1995 22:00
7860,Greenville,Red,LIGHT,IL,3/1/1995 21:00
7861,Sedalia,Red,LIGHT,MO,3/1/1995 21:00
7862,Redmond,RED,LIGHT,WA,3/2/1995 22:30
7863,Prescott Valley,Red,OVAL,AZ,3/4/1995 0:00
7864,Folsom,Red,LIGHT,NJ,3/4/1995 16:32
7865,Anaheim,Red,OTHER,CA,3/5/1995 12:00
7866,Columbus,Red,LIGHT,OH,3/6/1995 0:55
7867,Hilltop,Red,LIGHT,NJ,3/6/1995 19:00
7868,Florence,Red,LIGHT,OR,3/6/1995 19:10
7869,Mountain City,Red,LIGHT,TN,3/6/1995 19:45
7870,Ft. Bragg,Red,LIGHT,CA,3/6/1995 22:09
7871,Burley,Red,LIGHT,WA,3/6/1995 23:30
7872,Tucumcari,Red,LIGHT,NM,3/7/1995 4:00
7873,Bellevue,Red,LIGHT,WA,3/7/1995 5:30
7874,Geneva,Red,LIGHT,NY,3/7/1995 15:00
7875,Portland,RED,LIGHT,OR,3/7/1995 19:20
7876,Portland,RED,LIGHT,OR,3/7/1995 21:25
7877,Ammon,Red,LIGHT,ID,3/8/1995 5:45
7878,Byron Center,YELLOW,LIGHT,MI,3/8/1995 22:00
7879,Lake Jackson,Red,LIGHT,TX,3/8/1995 23:00
7880,Plant City,Red,LIGHT,FL,3/9/1995 21:00
7881,Portland,Red,LIGHT,OR,3/10/1995 20:45
7882,"Coconino Nat'l Forest north of Wupatki NM, AZ",BLUE,FORMATION,AZ,3/10/1995 22:00
7883,Chesapeake,RED ORANGE,LIGHT,VA,3/11/1995 3:00
7884,Las Vegas,Red,LIGHT,NV,3/11/1995 19:30
7885,Fort Wayne,Red,LIGHT,IN,3/11/1995 20:00
7886,Show Low,Red,LIGHT,AZ,3/11/1995 21:45
7887,Leavenworth,Red,LIGHT,KS,3/12/1995 20:30
7888,Norfolk,Red,LIGHT,VA,3/12/1995 21:00
7889,Borrego Springs,Red,TRIANGLE,CA,3/12/1995 22:00
7890,Avondale,Red,LIGHT,AZ,3/12/1995 23:30
7891,Columbia,Red,LIGHT,SC,3/12/1995 23:41
7892,Cumberland,Red,LIGHT,MD,3/12/1995 23:54
7893,Cumberland,Red,LIGHT,MD,3/12/1995 23:54
7894,Cumberland,Red,LIGHT,MD,3/12/1995 23:54
7895,Seattle,YELLOW,LIGHT,WA,3/13/1995 18:30
7896,Seattle,BLUE,LIGHT,WA,3/14/1995 21:07
7897,Seattle,Red,LIGHT,WA,3/14/1995 21:08
7898,Seattle,BLUE,LIGHT,WA,3/14/1995 21:08
7899,Seattle,BLUE,LIGHT,WA,3/14/1995 21:10
7900,Wenatchee,Red,LIGHT,WA,3/14/1995 21:10
7901,N. Judson,Red,LIGHT,IN,3/14/1995 21:45
7902,North Judson,Red,LIGHT,IN,3/14/1995 21:45
7903,Fontana,Red,LIGHT,CA,3/14/1995 22:05
7904,Whatcom County,Red,DISK,WA,3/15/1995 3:00
7905,Haymarket,Red,SPHERE,VA,3/15/1995 5:25
7906,San Antonio,Red,FIREBALL,TX,3/15/1995 6:30
7907,Orlando,Red,LIGHT,FL,3/15/1995 14:00
7908,Shepard AFB,Red,OTHER,TX,3/15/1995 17:45
7909,Danbury,Red,CHEVRON,CT,3/15/1995 20:00
7910,Fontana,BLUE,LIGHT,CA,3/15/1995 20:30
7911,Fontana,Red,LIGHT,CA,3/15/1995 20:30
7912,Clinton,Red,VARIOUS,IL,3/15/1995 21:00
7913,Cannis City,Red,LIGHT,FL,3/15/1995 21:30
7914,Howell,Red,TRIANGLE,MI,3/15/1995 22:00
7915,Grain Valley,Red,LIGHT,MO,3/15/1995 22:30
7916,Jefferson City,Red,LIGHT,MO,3/15/1995 22:30
7917,Jefferson City,Red,LIGHT,MO,3/15/1995 22:30
7918,St. Louis,Red,LIGHT,MO,3/15/1995 22:30
7919,Litchfield,BLUE,LIGHT,IL,3/15/1995 22:32
7920,Collinsville,BLUE,LIGHT,IL,3/15/1995 22:40
7921,Gainesville,Red,LIGHT,FL,3/15/1995 23:00
7922,Vienna,Red,LIGHT,VA,3/15/1995 23:17
7923,Fairmont,YELLOW GREEN,LIGHT,WV,3/15/1995 23:25
7924,S. Greensburg,Red,LIGHT,PA,3/15/1995 23:28
7925,Jackson,RED BLUE,LIGHT,TN,3/15/1995 23:32
7926,Molalla,Red,LIGHT,OR,3/16/1995 0:00
7927,Toledo,Red,LIGHT,OH,3/16/1995 23:45
7928,Lockwood,Red,LIGHT,NV,3/17/1995 16:00
7929,Flint,Red,LIGHT,MI,3/17/1995 19:40
7930,Evington,Red,LIGHT,VA,3/17/1995 22:00
7931,Boulder Creek,Red,LIGHT,CA,3/17/1995 23:30
7932,Bakersfield,Red,LIGHT,CA,3/18/1995 21:49
7933,Bakersfield,Red,LIGHT,CA,3/18/1995 21:49
7934,Mobile,Red,LIGHT,AL,3/19/1995 19:30
7935,Jacksonville,Red,LIGHT,FL,3/19/1995 20:00
7936,Patricia,Red,LIGHT,TX,3/19/1995 20:31
7937,Fayetteville,Red,CYLINDER,NC,3/20/1995 0:00
7938,Ft Benning,Red,CIRCLE,GA,3/20/1995 23:00
7939,Beaver,Red,TEARDROP,OK,3/21/1995 4:30
7940,Bedford,Red,LIGHT,VA,3/22/1995 5:10
7941,Redmond,Red,LIGHT,WA,3/22/1995 17:30
7942,Everett,Red,LIGHT,WA,3/22/1995 21:30
7943,Hwy. 18,Red,LIGHT,WA,3/23/1995 1:30
7944,Snoqualmie,Red,DISK,WA,3/23/1995 1:30
7945,Spokane,Red,LIGHT,WA,3/23/1995 21:23
7946,Lake Havasu,Red,LIGHT,AZ,3/23/1995 22:00
7947,Flint,Red,LIGHT,MI,3/23/1995 22:25
7948,North Dade,Red,LIGHT,FL,3/24/1995 1:27
7949,Las Vegas,Red,LIGHT,NV,3/24/1995 5:00
7950,Las Vegas,Red,LIGHT,NV,3/24/1995 5:00
7951,Grover Beach,Red,LIGHT,CA,3/25/1995 0:00
7952,Monterey,Red,LIGHT,CA,3/25/1995 0:00
7953,Seattle,Red,LIGHT,WA,3/25/1995 17:00
7954,Fort Wayne,Red,LIGHT,IN,3/25/1995 18:20
7955,Burien,Red,LIGHT,WA,3/25/1995 19:00
7956,Kingsford Heights,Red,TRIANGLE,IN,3/25/1995 22:00
7957,Redmond,Red,LIGHT,WA,3/25/1995 22:30
7958,Auburn,Red,LIGHT,WA,3/25/1995 23:10
7959,Salinas,Red,LIGHT,CA,3/25/1995 23:10
7960,Scottsdale,Red,LIGHT,AZ,3/26/1995 17:37
7961,Loveland,Red,LIGHT,CO,3/27/1995 21:15
7962,Harmony,Red,LIGHT,ME,3/27/1995 21:50
7963,Florence,Red,LIGHT,OR,3/27/1995 22:00
7964,San Francisco,Red,LIGHT,CA,3/27/1995 23:00
7965,Cordova,Red,LIGHT,AK,3/28/1995 0:36
7966,McAllen,Red,DISK,TX,3/28/1995 22:00
7967,Ventura,Red,LIGHT,CA,3/29/1995 1:31
7968,Shippensburg,BLUE,OTHER,PA,3/29/1995 6:30
7969,Rainsville,ORANGE,LIGHT,AL,3/29/1995 14:36
7970,Elma,Red,LIGHT,WA,3/29/1995 20:15
7971,Jacksonville,Red,LIGHT,FL,3/29/1995 20:35
7972,Mt. Ranch,Red,LIGHT,CA,3/29/1995 23:54
7973,Fort Wayne,Red,LIGHT,IN,3/30/1995 0:00
7974,Honolulu,YELLOW,LIGHT,HI,3/30/1995 0:00
7975,Eugene,Red,LIGHT,OR,3/30/1995 4:45
7976,Hollywood,Red,CIGAR,CA,3/30/1995 5:30
7977,Warren,Red,LIGHT,MI,3/30/1995 19:30
7978,Murphy,Red,LIGHT,NC,3/30/1995 23:32
7979,Placerville,Red,LIGHT,CA,3/31/1995 21:45
7980,Costa Mesa,RED,LIGHT,CA,4/1/1995 5:30
7981,Albany,Red,OTHER,OR,4/1/1995 18:00
7982,Holyoke,Red,LIGHT,MA,4/1/1995 18:00
7983,Mountlake Terrace,Red,LIGHT,WA,4/1/1995 21:00
7984,Knoxville,Red,LIGHT,TN,4/2/1995 10:20
7985,Central U.S.,Red,DIAMOND,ND,4/2/1995 13:00
7986,Smith River,Red,LIGHT,CA,4/2/1995 23:25
7987,Bakersfield,Red,LIGHT,CA,4/3/1995 2:00
7988,Haslett,Red,LIGHT,MI,4/3/1995 10:30
7989,Williamsburg,Red,SPHERE,VA,4/4/1995 4:00
7990,Folsom,Red,LIGHT,NJ,4/4/1995 23:50
7991,Bakersfield,Red,LIGHT,CA,4/5/1995 1:00
7992,Mesa,Red,DISK,AZ,4/5/1995 12:01
7993,Boyertown,Red,LIGHT,PA,4/5/1995 21:45
7994,Burlington,Red,LIGHT,NJ,4/6/1995 0:58
7995,Hendersonville,Red,TRIANGLE,TN,4/7/1995 17:00
7996,Boulder,Red,LIGHT,CO,4/7/1995 21:00
7997,Pridice Valley,Red,TRIANGLE,AZ,4/9/1995 17:00
7998,Alvin,Red,OTHER,TX,4/10/1995 0:30
7999,Apple Valley,BLUE,LIGHT,CA,4/10/1995 1:30
8000,Goleta,Red,LIGHT,CA,4/10/1995 2:25
8001,Tajunga,Red,LIGHT,CA,4/10/1995 2:25
8002,Yarldey,GREEN,OTHER,PA,4/10/1995 12:00
8003,Newport,Red,OTHER,MI,4/10/1995 21:00
8004,Norristown,Red,CIRCLE,PA,4/12/1995 21:00
8005,Richmond,Red,LIGHT,VA,4/12/1995 21:45
8006,Friday Harbor,Red,DIAMOND,WA,4/12/1995 23:00
8007,Pottstown,Red,LIGHT,PA,4/13/1995 12:00
8008,Brooklyn,Red,LIGHT,AR,4/13/1995 23:07
8009,West Memphis,GREEN,LIGHT,TN,4/13/1995 23:07
8010,Brooklyn,Red,LIGHT,AR,4/13/1995 23:08
8011,Tacoma,Red,LIGHT,WA,4/14/1995 21:00
8012,Boston,GREEN,LIGHT,MA,4/14/1995 22:00
8013,Newell area,Red,LIGHT,SD,4/15/1995 0:00
8014,Austin,Red,OTHER,TX,4/15/1995 12:00
8015,Earlville,Red,LIGHT,PA,4/15/1995 19:30
8016,Asheville,Red,TRIANGLE,NC,4/15/1995 22:00
8017,Gilbert,Red,LIGHT,AZ,4/15/1995 22:00
8018,Pinehurst,Red,TRIANGLE,NC,4/15/1995 22:00
8019,Urbana,Red,CIRCLE,OH,4/15/1995 22:00
8020,Kilgore,YELLOW,CIRCLE,TX,4/15/1995 23:30
8021,Woodinville,Red,LIGHT,WA,4/16/1995 1:10
8022,Great Falls,Red,OVAL,MT,4/16/1995 10:30
8023,Medford,Red,LIGHT,MA,4/16/1995 20:30
8024,Carrollton,Red,LIGHT,GA,4/16/1995 21:25
8025,Villa Rica,Red,LIGHT,GA,4/16/1995 21:45
8026,Tacoma,Red,LIGHT,WA,4/16/1995 22:10
8027,Milton,Red,DISK,DE,4/17/1995 19:00
8028,Pacificia,Red,OVAL,CA,4/17/1995 23:00
8029,Leesport,Red,LIGHT,PA,4/18/1995 20:30
8030,Gilbertsville,ORANGE,LIGHT,PA,4/18/1995 22:34
